id,section_id,section_name,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty
1,1,"Responsible AI and XAI Taxonomy","Which of the following is NOT one of the core principles of Responsible AI mentioned in the text?","Fairness","Transparency","Computational Efficiency","Accountability","C","Computational Efficiency is not listed as a core pillar; the pillars include Fairness, Transparency, Accountability, Privacy, and Safety/Reliability.","easy"
2,1,"Responsible AI and XAI Taxonomy","What defines a 'Black Box Model' in machine learning?","A model whose internal parameters and decision-making processes cannot be easily understood by humans.","A model that only accepts categorical input variables.","A model built exclusively for unsupervised learning tasks.","A model that is intrinsically interpretable.","A","Black box models are models that cannot be understood by looking at their internal parameters.","easy"
3,1,"Responsible AI and XAI Taxonomy","In the context of XAI, what is the primary difference between Interpretability and Explainability?","Explainability is open by design; Interpretability requires post-hoc tools.","Interpretability refers to a model's intrinsic simple design; Explainability involves external tools to clarify complex models.","Interpretability applies to Deep Learning; Explainability applies to Linear Regression.","There is no difference; the terms mean exactly the same thing.","B","Interpretability means the model is intrinsically open by design, while explainability involves post-hoc external tools applied to complex models.","medium"
4,1,"Responsible AI and XAI Taxonomy","According to the taxonomy of XAI, which 'Scope' evaluates the overall behavior of the entire model?","Local Methods","Intrinsic Methods","Global Methods","Counterfactual Methods","C","Global methods seek to explain the predictions of the overall model using a comprehensive top-down approach.","easy"
5,1,"Responsible AI and XAI Taxonomy","Which of the following questions does a 'Local Method' in XAI seek to answer?","How does the overall model work?","Why was this specific prediction made for this one instance?","What are the most important features across the entire dataset?","How do changes in hyperparameters affect the model's accuracy?","B","Local methods explain how a specific sample is mapped to its output, answering 'Why this prediction?'.","easy"
6,1,"Responsible AI and XAI Taxonomy","Which XAI method category operates on the dataset itself before the model is even built?","Post-Hoc","Pre-Model","Intrinsic","Agnostic","B","Pre-model methods operate independently of the model and are applied directly to the dataset itself.","medium"
7,1,"Responsible AI and XAI Taxonomy","A decision tree is categorized as which type of model in the XAI taxonomy?","Intrinsic (Self-explanatory)","Black Box","Post-Hoc","Model-Agnostic","A","Decision trees have a simple, visible structure and are considered intrinsically interpretable models.","easy"
8,1,"Responsible AI and XAI Taxonomy","LIME (Local Interpretable Model-Agnostic Explanations) is an example of what type of XAI method?","Global","Pre-Model","Local","Intrinsic","C","LIME stands for Local Interpretable Model-Agnostic Explanations, making it a Local method.","medium"
9,1,"Responsible AI and XAI Taxonomy","Partial Dependence Plots (PDP) are an example of which type of method?","Local","Global","Counterfactual","Example-based","B","Partial Dependence Plots (PDP) are global methods because they unveil model insights top-down.","medium"
10,1,"Responsible AI and XAI Taxonomy","What does 'Model-Agnostic' mean in the context of XAI tools?","The tool relies on accessing the internal weights of the neural network.","The tool can only be applied to decision trees.","The tool works by analyzing feature input and output pairs and can be applied to any machine learning model.","The tool cannot be used on black-box models.","C","Model-agnostic tools can be applied to any machine learning model post-training by analyzing input/output pairs.","medium"
