id,section_id,section_name,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty
1,1,"Introduction to NLP","What is the primary objective of Natural Language Processing (NLP)?","To build graphical user interfaces for databases.","To read, decipher, understand, and make sense of human languages in a valuable manner.","To translate binary machine code into assembly language.","To replace human psychologists with AI systems.","B","The ultimate objective of NLP is to read, decipher, understand, and make sense of human languages in a manner that is valuable.","easy"
2,1,"Introduction to NLP","Which core component of NLP refers specifically to the rules, principles, and processes that govern the structure of sentences?","Semantics","Pragmatics","Syntax","Morphology","C","Syntax refers to the set of rules, principles, and processes that govern the structure of sentences, specifically word and phrase order.","easy"
3,1,"Introduction to NLP","In English, a typical sentence follows which basic syntactic rule regarding word order?","Object-Subject-Verb","Verb-Object-Subject","Subject-Verb-Object","Subject-Object-Verb","C","In English, a basic syntactic rule is that a typical sentence follows a Subject-Verb-Object order.","easy"
4,1,"Introduction to NLP","Which branch of linguistics studies the meanings of individual words and how meaning can shift based on context?","Syntax","Semantics","Pragmatics","Phonetics","B","Semantics is the branch of linguistics that studies the meanings of words, phrases, and sentences, including how meaning shifts based on context.","easy"
5,1,"Introduction to NLP","If someone says, ""Can you pass the salt?"", understanding that this is a request rather than a literal question about physical ability relies on which linguistic study?","Syntax","Semantics","Pragmatics","Stemming","C","Pragmatics explores the subtleties of language use and context, such as interpreting ""Can you pass the salt?"" as a request based on social context.","medium"
6,1,"Introduction to NLP","What is the primary difference between syntax and semantics?","Syntax focuses on meaning, while semantics focuses on sentence structure.","Syntax focuses on formal patterns and word order, while semantics focuses on meaning.","Syntax studies social context, while semantics studies dictionary definitions.","There is no difference; they are interchangeable terms in NLP.","B","Syntax focuses on the formal patterns of language without considering meaning, whereas semantics is strictly about the meaning of words and sentences.","medium"
7,1,"Introduction to NLP","Which text preprocessing technique involves cutting off the ends of words to reduce them to a base form, often crudely chopping off prefixes and suffixes?","Part-of-Speech Tagging","Lemmatization","Parsing","Stemming","D","Stemming is a somewhat crude approach that involves cutting off word prefixes and suffixes to reduce words to their base or root form.","easy"
8,1,"Introduction to NLP","Converting the words ""is,"" ""are,"" and ""am"" all to their dictionary form ""be"" is an example of which technique?","Stemming","Lemmatization","Pragmatics","N-gram generation","B","Lemmatization considers context and uses vocabulary/morphological analysis to convert words like ""is,"" ""are,"" and ""am"" to their lemma ""be.""","medium"
9,1,"Introduction to NLP","Why is lemmatization generally slower than stemming?","It relies purely on chopping suffixes without a dictionary.","It uses vocabulary and morphological analysis to accurately find the dictionary form.","It requires translating the word into another language first.","It creates high-dimensional sparse matrices.","B","Lemmatization uses vocabulary and morphological analysis of words, which makes it slower but more accurate than stemming.","medium"
10,1,"Introduction to NLP","Part-of-Speech (POS) tagging involves assigning grammatical labels to words based on what two factors?","Character count and syntax","Stem and suffix","Definition and context","Frequency and dimensionality","C","POS tagging involves assigning a part of speech to each word based on both its definition and its context.","easy"
11,1,"Introduction to NLP","Which of the following is a machine learning algorithm specifically mentioned as being used by modern POS taggers to take context into account?","Continuous Bag of Words (CBOW)","Hidden Markov Models (HMMs)","Minimum Edit Distance","K-Means Clustering","B","Modern POS taggers use machine learning algorithms like Hidden Markov Models (HMMs) or deep learning models that take context into account.","medium"
12,1,"Introduction to NLP","Which of the following is listed as a major challenge in Natural Language Processing?","Reducing the accuracy of lemmatization","Handling Ambiguity and Context","Eliminating the need for syntax","Increasing the speed of the Huffman algorithm","B","The lecture outlines ""Handling Ambiguity and Context"" as one of the primary challenges in Natural Language Processing.","easy"
13,1,"Introduction to NLP","Besides Ambiguity and Context, what are two other challenges in NLP mentioned in the lecture?","Language Diversity and Computational Complexity","Text Preprocessing and Pragmatics","One-Hot Encoding and Hardware Limitations","Stop Words and Lemmatization","A","The challenges mentioned are Handling Ambiguity and Context, Language Diversity and Adaptability, and Computational Complexity.","easy"
14,1,"Introduction to NLP","Which core NLP component ensures we correctly understand that the word ""bank"" means a financial institution rather than a river edge in a given text?","Syntax","Semantics","Stemming","One-hot encoding","B","Semantics analyzes meanings and changes in meaning based on context, such as differentiating the two meanings of ""bank.""","medium"
15,1,"Introduction to NLP","How do machines learn to predict correct POS tags for new texts?","By randomly assigning tags and testing for grammatical errors.","By stripping all suffixes from words to find their base tag.","By being trained on large corpora of annotated text where correct tags are already assigned.","By converting all text into character n-grams.","C","POS tools are trained on large corpora of annotated text where correct tags are already assigned, allowing them to learn and predict.","medium"
16,1,"Introduction to NLP","What is the grammatical label assigned to words that describe actions, such as ""run"" or ""chased""?","Nouns","Adjectives","Verbs","Adverbs","C","Verbs represent actions. The text mentions labels like nouns, verbs, adjectives, etc., being assigned during POS tagging based on roles (e.g., ""chased"" is a verb).","easy"
17,1,"Introduction to NLP","Which of the following is NOT an application of Natural Language Processing mentioned in the notes?","Translation","Sentiment analysis","Topic extraction","Image generation","D","The notes explicitly mention translation, sentiment analysis, and topic extraction as tasks performed by NLP. Image generation is not mentioned.","easy"
18,1,"Introduction to NLP","What branch of artificial intelligence does NLP belong to?","Natural Language Processing is its own independent field outside of AI.","NLP is a branch of artificial intelligence focusing on the interaction between computers and humans through natural language.","NLP is a branch of robotics.","NLP is a theoretical physics framework.","B","NLP is a branch of artificial intelligence that focuses on the interaction between computers and humans through natural language.","easy"
19,1,"Introduction to NLP","What role does POS tagging play in broader NLP tasks?","It strictly increases computational complexity without providing structure.","It is crucial for syntactic parsing and word sense disambiguation.","It translates text into different languages automatically.","It performs sentiment analysis natively.","B","POS tagging is crucial for syntactic parsing and word sense disambiguation, helping machines understand grammatical structures.","medium"
20,1,"Introduction to NLP","A system mapping ""connecting"", ""connections"", and ""connective"" to the root ""connect"" without considering sentence context is likely using which technique?","POS Tagging","Pragmatics","Stemming","Lemmatization","C","Stemming is a somewhat crude approach that chops off prefixes and suffixes without necessarily considering context, unlike lemmatization.","medium"
21,2,"Word Embedding & Word2vec","What is a Word Embedding?","A graphical tree representing syntactic dependencies.","A numeric vector input that represents a word in a lower-dimensional space.","A rule-based system for stripping word suffixes.","A sparse matrix where every word has its own dimension.","B","Word Embedding is a numeric vector input that represents a word in a lower-dimensional space, capturing semantic and syntactic information.","easy"
22,2,"Word Embedding & Word2vec","Why are traditional approaches like Bag of Words (BoW) considered flawed regarding meaning?","They result in negative numeric vectors.","They require character-level n-grams.","They rely on word counts but do not preserve syntactical or semantic information.","They require too little memory, leading to underfitting.","C","Traditional approaches like BoW and TF-IDF rely on word count but do not save any syntactical or semantic information.","medium"
23,2,"Word Embedding & Word2vec","In One-Hot Encoding, what determines the dimensionality of the vector?","The number of letters in the longest word.","The number of hidden layers in the neural network.","The size of the vocabulary.","The number of sentences in the document.","C","In One-Hot Encoding, each word is represented as a unique vector where the dimensionality is equal to the size of the vocabulary.","easy"
24,2,"Word Embedding & Word2vec","What does a One-Hot Encoded vector look like for a specific word?","A dense vector of decimal values between 0 and 1.","A vector with all elements set to 0, except for the index of the word, which is set to 1.","A vector containing the frequency counts of all words in the document.","A two-dimensional vector representing X and Y coordinates.","B","The vector has all elements set to 0, except for the element corresponding to the index of the word, which is set to 1.","easy"
25,2,"Word Embedding & Word2vec","Which of the following is a primary disadvantage of One-Hot Encoding?","It captures too much semantic context, causing overfitting.","It is highly effective but restricted only to subwords.","It results in high-dimensional vectors, making it computationally expensive and memory-intensive.","It is unable to handle stopwords.","C","One-Hot Encoding results in high-dimensional vectors, making it computationally expensive and memory-intensive, especially with large vocabularies.","medium"
26,2,"Word Embedding & Word2vec","How does One-Hot Encoding handle Out-Of-Vocabulary (OOV) words?","It assigns them an average of all existing vectors.","It breaks them down into character n-grams.","It creates a new dynamic matrix space.","It is restricted to the training vocabulary and cannot handle OOV words.","D","One-Hot encoding is restricted to the vocabulary seen during training, making it unsuitable for handling out-of-vocabulary words.","easy"
27,2,"Word Embedding & Word2vec","Which traditional text representation technique discards word order entirely and creates a vector based purely on word frequencies?","Word2Vec","Bag of Words (BoW)","Skip-gram","Continuous Bag of Words (CBOW)","B","Bag of Words (BoW) represents a document as an unordered set of words and their respective frequencies, discarding word order.","easy"
