"id","section_id","section_name","question","option_a","option_b","option_c","option_d","correct_answer","explanation","difficulty"
"1","1","Classical vs. Modern Computer Vision","What is the primary difference in feature extraction between Classical and Modern Computer Vision?","Classical CV uses hand-crafted features, while Modern CV learns features automatically.","Classical CV uses end-to-end deep learning, while Modern CV uses hand-crafted features.","Modern CV extracts features faster than Classical CV.","Classical CV requires more training data to extract features than Modern CV.","A","Classical CV relies on hand-crafted features (e.g., edge or corner detection), whereas Modern CV uses end-to-end processing (like CNNs) where features are learned automatically by the model.","easy"
"2","1","Classical vs. Modern Computer Vision","Which of the following is considered a built-in advantage of many Classical Computer Vision techniques compared to Modern deep learning models?","They are highly generalizable to unseen data distributions.","Explainability and interpretability are much more straightforward.","They excel in outdoor applications with highly variable lighting.","They easily support the most complex recognition tasks.","B","Explainability and interpretability are built-in features of many classical CV techniques (like edge or corner detection). In contrast, features learned automatically by Modern CV may not be interpretable by humans.","medium"
"3","1","Classical vs. Modern Computer Vision","A startup is developing a quality inspection system but only has a very small dataset of 50 annotated images. Based on the course material, which approach is most appropriate and why?","Modern CV, because CNNs can generalize better even with small datasets.","Modern CV, because end-to-end processing requires fewer examples to converge.","Classical CV, because it requires a lesser amount of training data compared to Modern CV.","Classical CV, because hand-crafted features automatically adapt to any data distribution.","C","Classical CV is suitable here because it requires less training data. The course explicitly states that a con of Modern CV is that it is not suitable for small datasets, and accuracy will dramatically decrease.","hard"
"4","1","Classical vs. Modern Computer Vision","Why might an engineer choose a Classical Computer Vision approach over a Modern Computer Vision approach for deployment on an edge device?","Classical CV models inherently possess smaller sizes making them suitable for edge devices.","Modern CV models require constant internet connectivity to function.","Edge devices cannot perform end-to-end processing under any circumstances.","Classical CV models guarantee higher accuracy in uncontrolled environments.","A","A stated 'pro' of Classical Computer Vision is that it is suitable for edge devices due to its small size and generally faster inference time.","easy"
"5","1","Classical vs. Modern Computer Vision","In a document processing pipeline, how does the Modern Computer Vision approach differ from the Classical approach when performing affine transformations and feature extraction?","Modern CV uses traditional classifiers like SVMs, while Classical CV uses CNNs.","Modern CV uses CNN filters for both affine transformations and feature extraction, rather than using hand-crafted methods.","Classical CV uses fully connected layers to find corners, while Modern CV uses edge detection.","There is no difference; both paradigms use the exact same preprocessing steps before classification.","B","In the Modern CV example, CNN filters are used to perform affine transformations, rectify the document, and extract features, completely replacing the classical hand-crafted steps.","medium"
"6","1","Classical vs. Modern Computer Vision","Consider the computational time trade-offs between Classical and Modern Computer Vision. Which of the following statements accurately reflects these trade-offs?","Modern CV has higher training time but much faster inference time than Classical CV.","Classical CV has slower inference time because hand-crafted features take longer to compute.","Modern CV requires both higher training time and higher inference time compared to Classical CV.","Both paradigms require roughly the same training and inference times depending on the dataset.","C","The course notes list 'faster inference time (on average)' as a pro for Classical CV, and 'Higher training time' alongside 'Higher inference time' as cons for Modern CV.","hard"
"7","1","Classical vs. Modern Computer Vision","If the lighting conditions and background environment of an application are highly variable, which paradigm is highly recommended?","Classical Computer Vision","Modern Computer Vision","Neither, both will fail identically","Only traditional SVM classifiers","B","Modern Computer Vision is noted to be 'Best in outdoor applications (uncontrolled environment) e.g. when lighting is highly variable' because of its robust generalization.","easy"
"8","1","Classical vs. Modern Computer Vision","Which Computer Vision task specifically focuses on replacing or fixing damaged, deteriorated, or missing parts of an image?","Image restoration","Image inpainting","Pose estimation","Content-based image retrieval","B","Image inpainting is defined in the text as a 'special type of restoration' specifically for 'damaged, deteriorated, or missing parts.'","medium"
"9","1","Classical vs. Modern Computer Vision","A traditional object detection system performed with 98% accuracy in the lab but dropped to 60% in the real world due to seasonal weather changes. What is the fundamental theoretical limitation of Classical CV causing this failure?","It is not generalizable and is harder to maintain if the data distribution changes.","It requires too much training data to adapt to the new weather conditions.","The inference time increases when the weather changes, causing timeouts.","Classical classifiers like SVMs cannot process outdoor images.","A","The cons of Classical Computer Vision include being 'Not generalizable' and 'Harder to maintain if data distribution changes', making them brittle in uncontrolled environments like changing weather.","hard"
"10","1","Classical vs. Modern Computer Vision","In an end-to-end Modern Computer Vision pipeline using Convolutional Neural Networks (CNNs), which components are specifically responsible for feature extraction and classification, respectively?","SVMs extract features; CNN filters classify.","CNN Filters extract features; Fully Connected (FC) Layers classify.","Fully Connected (FC) Layers extract features; CNN Filters classify.","Edge detectors extract features; Fully Connected (FC) Layers classify.","B","According to the Modern CV example, CNN (Filters) are used to extract features, while CNN (FC Layers) are used to classify characters.","medium"
"11","1","Classical vs. Modern Computer Vision","Which term best describes the processing paradigm of Modern Computer Vision models, such as Convolutional Neural Networks?","Hand-crafted extraction","Dimensionality reduction","End-to-End processing","Fixed domain inference","C","Modern Computer Vision uses 'End-to-End processing (e.g. using CNN)', replacing the multi-step classical pipeline of preprocessing, feature extraction, and classification.","easy"
"12","1","Classical vs. Modern Computer Vision","Which of the following is a significant drawback of utilizing Modern Computer Vision techniques in critical systems where human auditing is required?","The learned features are automatic and may not be interpretable by humans.","They require a fixed domain of data to function correctly.","They have built-in explainability which exposes secure data.","They cannot perform object localization or recognition.","A","A major con of Modern CV is that 'feature learned (automatic) may not be interpretable by humans', making auditing and explainability difficult compared to Classical CV.","medium"
"13","1","Classical vs. Modern Computer Vision","You are designing a system to classify components on a highly-illuminated assembly line where the data domain is strictly fixed, but you have heavily constrained computational power. According to the course material, what is the best design choice?","Modern CV, because it generalizes well to the assembly line.","Classical CV, because it leads to better accuracy for fixed domains and is suitable for edge devices.","Modern CV, because CNN FC layers require less computational power than SVMs.","Classical CV, because it is the only paradigm that supports object classification.","B","For a fixed domain of data with constrained power (edge devices), Classical CV is preferred as it may lead to better accuracy, requires less training data, and has faster inference time.","hard"
"14","1","Classical vs. Modern Computer Vision","Finding all images in a database that are visually similar to a given query image is an example of which computer vision task?","Object localization","Pose estimation","Content-based image retrieval","Image restoration","C","The course notes define Content-based image retrieval as '(e.g. all images similar to image given image)'.","easy"
"15","2","Image Enhancement in the Spatial Domain","An 8-bit grayscale image is transformed using the equation s = 255 - r. What is the primary purpose of this transformation?","To invert the intensity values, creating a negative of the original image.","To compress the dynamic range of the image.","To flatten the histogram of the image.","To highlight the high-frequency edge details.","A","The negative transformation formula s = 255 - r directly inverts the pixel intensities, mapping black to white and vice versa.","easy"
"16","2","Image Enhancement in the Spatial Domain","Before applying the Gamma Correction formula s = c r^gamma (where c=1), what crucial preprocessing step must be performed on the input pixel intensities r?","They must be inverted using a negative transformation.","They must be normalized to a range between 0 and 1.","They must be converted to the frequency domain.","They must be smoothed using a 3x3 averaging filter.","B","The lecture slides explicitly state to 'Normalize r before Apply Eq. To be from 0 to 1' when performing Gamma Correction.","medium"
"17","2","Image Enhancement in the Spatial Domain","What is the primary objective of Histogram Equalization in spatial domain image enhancement?","To strictly isolate high-frequency components and edges.","To shift the image spectrum to the center of the frequency domain.","To produce a uniform histogram by redistributing gray-level probabilities.","To remove salt-and-pepper noise using pixel neighborhoods.","C","The stated goal of Histogram Equalization in the slides is to 'produce an uniform histogram' by finding a transformation based on cumulative probabilities.","easy"
"18","2","Image Enhancement in the Spatial Domain","Given a 3-bit image (maximum intensity N=7) with 100 pixels total. If intensity level 0 has 20 pixels and intensity level 1 has 40 pixels, what is the new equalized intensity value T(1)?","3","4","5","6","B","The probability p(0) = 20/100 = 0.2, and p(1) = 40/100 = 0.4. The formula is T(r) = round(N * sum(p(i))). For r=1: sum = 0.2 + 0.4 = 0.6. T(1) = round(7 * 0.6) = round(4.2) = 4.","hard"
