id,section_id,section_name,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty
1,"1","Security Foundations & CIA Triad","What is the primary function of Confidentiality in the CIA Triad?","To assure that systems work effectively","To guard against incorrect information modification","To assure that private information is not available to unauthorized individuals","To trace the system and users' actions","C","Confidentiality covers data confidentiality and privacy, preventing unauthorized access.","easy"
2,"1","Security Foundations & CIA Triad","Which principle dictates that a system performs its intended functions in a correct manner, free from unauthorized manipulation?","System integrity","Data integrity","Availability","Accountability","A","System integrity assures that a system performs its intended functions correctly and free from unauthorized manipulation.","medium"
3,"1","Security Foundations & CIA Triad","True/False: Availability assures that systems work effectively, and service is not denied to authorized users.","True","False","None of the above","Both A and B","A","Availability ensures timely and reliable access to the system for authorized users.","easy"
4,"1","Security Foundations & CIA Triad","Which of the following is NOT an example of a passive attack?","Traffic analysis","Obtaining of message contents","Eavesdropping","Denial of service (DOS)","D","Denial of service (DOS) is an active attack because it attempts to alter system resources or affect their operation.","medium"
5,"1","Security Foundations & CIA Triad","What is the main difference between a Threat and an Attack?","A threat is a real violation, while an attack is a potential violation","A threat is a potential for violation, while an attack is a real violation derived from a threat","There is no difference","A threat is a countermeasure, while an attack is a vulnerability","B","A threat is a potential for violation, whereas an attack is a real violation that derives from an intelligent threat.","medium"
6,"1","Security Foundations & CIA Triad","In the Security Action Cycle diagram, what step immediately follows ""Prevention"" in the clockwise flow?","Detection","Response","Recovery","Risk Assessment","A","The complementary courses of action form a cycle: Prevention -> Detection -> Response -> Recovery.","medium"
7,"1","Security Foundations & CIA Triad","What is the primary function of ""Traffic-flow Confidentiality""?","Protecting all user data in a single data block","Protecting all user information during a connection","Hiding or masquerading the network traffic pattern to thwart statistical traffic analysis","Guarding against incorrect information modification","C","Traffic-flow Confidentiality hides the traffic pattern to prevent statistical traffic analysis attacks.","medium"
8,"1","Security Foundations & CIA Triad","Which principle validates the source or origin of data and other files through proof of identity?","Accountability","Authenticity","Nonrepudiation","Availability","B","Authenticity is the property of being genuine and being able to be verified and trusted, validating the source.","easy"
9,"1","Security Foundations & CIA Triad","True/False: Masquerade is a threat to system or data integrity where an unauthorized user acts as an authorized user.","True","False","None of the above","Both A and B","A","Masquerade is a deception threat attempting to gain access by pretending to be an authorized user.","easy"
10,"1","Security Foundations & CIA Triad","Which of the following is NOT an entity or coordinator in the Information Security process?","Products (assets)","People","Policies and procedures","Attack Surfaces","D","Information security is achieved through a combination of Products, People, and Policies and procedures.","medium"
11,"1","Security Foundations & CIA Triad","What is the main difference between Peer Entity Authentication and Data Origin Authentication?","Peer entity verifies a connection, while data origin verifies the source of a data block","Peer entity prevents message modification, while data origin prevents DOS","Peer entity hides traffic flow, while data origin masks personal identity","There is no difference","A","Peer entity authentication applies to a connection, while data origin authentication validates the source of a data unit.","hard"
12,"1","Security Foundations & CIA Triad","Which of the following is NOT a form of Threat Shape related to Unauthorized Detection?","Exposure","Interception","Falsification","Inference","C","Falsification is a threat to system or data integrity (Deception), not Unauthorized Detection.","hard"
13,"1","Security Foundations & CIA Triad","What is the primary function of the Nonrepudiation service?","Limit and control access to the system","Prevent either the sender or receiver from denying a transmitted message","Ensure systems work effectively","Protect against message modification","B","Nonrepudiation prevents either the sender or the receiver from denying that a message was transmitted.","medium"
14,"1","Security Foundations & CIA Triad","True/False: A Countermeasure is an action or device that avoids a threat by preventing it or minimizing the harm it can cause.","True","False","None of the above","Both A and B","A","A countermeasure prevents, minimizes, or discovers and reports an attack.","easy"
15,"1","Security Foundations & CIA Triad","In the context of the CIA Triad, which of the following best describes ""Data Confidentiality""?","Assures that private information is not available to unauthorized individuals","Assures the accuracy and completeness of data","Assures that service is not denied to authorized users","Assures the tracing of system actions","A","Data confidentiality ensures that sensitive information is not disclosed to unauthorized parties.","easy"
16,"2",Intro to Cryptography & Ciphers,"What is the main difference between Cryptography and Steganography?","Cryptography means covered writing, while Steganography means secret writing","Cryptography means secret writing, while Steganography means covered writing (hiding the message itself)","Cryptography uses only hardware, while Steganography uses only software","Cryptography is for images, while Steganography is for text","B","Cryptography transforms messages to make them secure (secret writing), while Steganography hides the message's existence (covered writing).","medium"
17,"2",Intro to Cryptography & Ciphers,"Which of the following is NOT a category of Mono-alphabetic Cipher?","Additive Cipher","Multiplicative Cipher","Vigenere Cipher","Affine Cipher","C","Vigenere Cipher is a Poly-alphabetic Cipher, not Mono-alphabetic.","medium"
18,"2",Intro to Cryptography & Ciphers,"In the Cryptography Taxonomy diagram, what two main branches fall under Conventional (Character-level) methods?","Symmetric and Asymmetric","Block and Stream","Substitution and Transposition","Hash and Digital Signature","C","Conventional character-level encryption branches into Substitution and Transposition methods.","hard"
19,"2",Intro to Cryptography & Ciphers,"True/False: In a monoalphabetic substitution, the relationship between letters in the plaintext and ciphertext is one-to-many.","True","False","None of the above","Both A and B","B","In monoalphabetic substitution, the relationship is one-to-one. Polyalphabetic uses one-to-many.","medium"
20,"2",Intro to Cryptography & Ciphers,"What is the primary function of the Additive Cipher (Caesar cipher)?","It maps each character to a matrix","It replaces a character by adding a fixed number to its ASCII code or alphabetic position","It swaps columns in a two-dimensional table","It XORs the plaintext with a keystream","B","The additive cipher simply adds a shifting value (key) to the numerical value of the character.","easy"
21,"2",Intro to Cryptography & Ciphers,"Which principle dictates the operation of an Affine Cipher?","It combines additive and multiplicative ciphers applied one after another","It uses a 5x5 matrix to group letters","It hides the letter frequency of the language entirely","It rearranges columns based on a keyword","A","The Affine Cipher is a combination of an additive cipher (K2) and a multiplicative cipher (K1).","hard"
22,"2",Intro to Cryptography & Ciphers,"What is the main difference between Character-level and Bit-level encryption?","Character-level is modern, while Bit-level is conventional","Character-level divides data into bits, while Bit-level replaces whole words","Character-level encrypts by character (substitution/transposition), while Bit-level encrypts fixed blocks of bits using logic functions","There is no difference","C","Character-level encryption (conventional) replaces or moves letters, while Bit-level (modern) alters bits using logic like XOR and rotation.","medium"
23,"2",Intro to Cryptography & Ciphers,"Which of the following is NOT a Polyalphabetic Cipher?","Auto-key Cipher","Play-fair Cipher","Keyless Cipher","Rail fence cipher","D","Rail fence cipher is a transpositional cipher, not a polyalphabetic substitution cipher.","medium"
24,"2",Intro to Cryptography & Ciphers,"In the Play-fair Cipher diagram logic, if two plaintext letters are in the same row of the 5x5 matrix, how are they encrypted?","Replaced by the letters beneath them","Replaced by the next letter to the right in the same row","Replaced by the letters in the opposite corners","Replaced by a random fake letter","B","In Play-fair, if letters are in the same row, the cipher is the next letter to the right.","hard"
25,"2",Intro to Cryptography & Ciphers,"True/False: The Vigenere cipher key stream depends only on the position of the character, not the plaintext character itself.","True","False","None of the above","Both A and B","A","Unlike Auto-key, the Vigenere key stream is a repetition of the initial key and does not depend on the plaintext.","medium"
26,"2",Intro to Cryptography & Ciphers,"What is the primary function of Transpositional Cryptography?","Replacing characters with different characters","Changing the positions of characters while keeping their plaintext form","Adding a mathematical value to the ASCII code","Masking the data inside an image","B","Transpositional ciphers reorder or swap the positions of the characters without changing their identities.","easy"
27,"2",Intro to Cryptography & Ciphers,"Which of the following is an example of an Unkey Transpositional cipher?","Rail fence cipher","Affine cipher","Vigenere cipher","Keyed columnar cipher","A","The Rail fence cipher organizes text in a zigzag pattern without requiring a key.","medium"
28,"2",Intro to Cryptography & Ciphers,"In the Keyed columnar transposition cipher, what step immediately follows writing the plaintext into a table row by row?","Reading the new table row by row","Adding a fake letter","The permutation (transposition) is done by reordering the columns based on the key","XORing the columns with the key","C","After writing row by row, the columns are interchanged according to the key before being read column by column.","hard"
29,"2",Intro to Cryptography & Ciphers,"What is the main difference between Keyless Polyalphabetic and Auto-key ciphers?","Keyless uses the position of the character as the key, while Auto-key uses previous plaintext characters as the key stream","Keyless uses a 5x5 matrix, while Auto-key uses a Vigenere table","Keyless is a transposition, while Auto-key is substitution","Both use exactly the same key generation","A","Keyless uses the character's numerical position, while Auto-key links the key stream to the plaintext content.","hard"
30,"2",Intro to Cryptography & Ciphers,"True/False: Monoalphabetic substitution is highly secure because it successfully hides the natural statistical frequencies of characters in English.","True","False","None of the above","Both A and B","B","False. Monoalphabetic substitution does NOT hide natural letter frequencies, making it easy to break.","easy"
31,"3",Modern Cryptography & Advanced Ciphers,"Which principle dictates that the strength of a cipher must be based only on the secrecy of the key, not the secrecy of the algorithm?","CIA Triad","Kerckhoff's Principle","Vigenere Principle","Shannon's Maxim","B","Kerckhoff's Principle states that the algorithm does not need to be secret, only the key must be secret.","easy"
32,"3",Modern Cryptography & Advanced Ciphers,"What is the main difference between a Ciphertext-only Attack and a Known-plaintext Attack?","Ciphertext-only requires the key, while Known-plaintext does not","Ciphertext-only attacker only has the ciphertext, while Known-plaintext attacker has access to both plaintext and ciphertext for some messages","Ciphertext-only modifies data, while Known-plaintext is passive","There is no difference","B","In a known-plaintext attack, the attacker leverages known pairs of plaintext and ciphertext.","medium"
33,"3",Modern Cryptography & Advanced Ciphers,"Which of the following is NOT a characteristic of a Block Cipher?","Processes the input one block at a time","Produces an output block for each input block","Encrypts plaintext one bit or byte at a time continuously","Can reuse keys","C","Encrypting one bit or byte at a time continuously is a characteristic of a Stream Cipher.","medium"
34,"3",Modern Cryptography & Advanced Ciphers,"In the Symmetric Encryption diagram, what flows into the Decryption algorithm to produce the Plaintext output?","The recipient's private key and transmitted ciphertext","The transmitted ciphertext and the same secret key used for encryption","The public key and the hash","A pseudorandom byte generator","B","Symmetric encryption uses the exact same secret key for both encryption and decryption.","easy"
35,"3",Modern Cryptography & Advanced Ciphers,"True/False: Asymmetric encryption uses two keys per person, where one must be kept secret and the other can be freely exposed.","True","False","None of the above","Both A and B","A","Public-key (Asymmetric) cryptography utilizes a public key for encryption and a private key for decryption.","easy"
36,"3",Modern Cryptography & Advanced Ciphers,"In the DES architecture block diagram, what step immediately follows the Initial Permutation?","32-bit Swap","Inverse Initial Permutation","16 Rounds of substitution/permutation","Key Expansion","C","In DES, the 64-bit plaintext undergoes an Initial Permutation before entering the 16 Rounds.","hard"
37,"3",Modern Cryptography & Advanced Ciphers,"What is the main difference between DES and AES key sizes?","DES uses 128/192/256 bits, while AES uses 56 effective bits","DES uses 56 effective bits, while AES supports 128, 192, and 256 bits","DES uses a public key, while AES uses a private key","Both use exactly 64-bit keys","B","DES has a 56-bit effective key, making it vulnerable, whereas AES supports much larger key sizes.","medium"
38,"3",Modern Cryptography & Advanced Ciphers,"Which of the following is NOT one of the four sequential transformations in an AES Round block diagram?","SubBytes","ShiftRows","Initial Permutation","AddRoundKey","C","Initial Permutation is a step in DES, not AES. AES uses SubBytes, ShiftRows, MixColumns, and AddRoundKey.","hard"
39,"3",Modern Cryptography & Advanced Ciphers,"What is the primary function of a Hash Function in message authentication?","To encrypt large files faster than AES","To condense an arbitrary message to a fixed-size bit string","To create a secret keystream","To hide data inside a cover image","B","A hash function maps data of any size to a fixed-size hash or message digest.","easy"
40,"3",Modern Cryptography & Advanced Ciphers,"True/False: To verify a digital signature, the recipient decrypts the signature using the sender's public key and compares it to a new hash of the message.","True","False","None of the above","Both A and B","A","This is the exact flow for digital signature verification in asymmetric cryptography.","medium"
41,"3",Modern Cryptography & Advanced Ciphers,"In the Stream Cipher block diagram, what two components are combined using a bitwise XOR to produce the ciphertext?","Plaintext byte stream and Public Key","Plaintext byte stream and Keystream (from the pseudorandom generator)","Ciphertext and MAC","State Matrix and Round Key","B","A stream cipher XORs the plaintext stream with a generated keystream to create the ciphertext.","hard"
42,"3",Modern Cryptography & Advanced Ciphers,"Which of the following is NOT a measure of the strength of a computationally secure cryptosystem?","The cost of breaking the cipher exceeds the value of the encrypted information","The time required to break the cipher exceeds the useful lifetime of the information","The algorithm relies entirely on the secrecy of the algorithm itself","The key domain is extremely large","C","Kerckhoff's principle states the algorithm should NOT need to be secret; strength relies on the key.","medium"
43,"3",Modern Cryptography & Advanced Ciphers,"What is the main difference between MD5 and SHA-1?","MD5 has 80 rounds, while SHA-1 has 64 rounds","MD5 uses 64 rounds, while SHA-1 uses 80 rounds","MD5 produces a 160-bit digest, while SHA-1 produces 128 bits","MD5 is asymmetric, while SHA-1 is symmetric","B","MD5 uses 64 rounds of compression, while SHA-1 uses 80 rounds.","hard"
44,"3",Modern Cryptography & Advanced Ciphers,"True/False: In Asymmetric Cryptography, if Bob wishes to send a private message to Alice, Bob encrypts the message using his own private key.","True","False","None of the above","Both A and B","B","False. Bob encrypts the message using Alice's public key so that only Alice can decrypt it with her private key.","medium"
45,"3",Modern Cryptography & Advanced Ciphers,"In the context of Cryptanalysis, what is a Chosen-plaintext Attack?","The attacker only has access to the ciphertext","The attacker selects specific ciphertexts to obtain plaintexts","The attacker can reach specific plaintexts and observe the corresponding ciphertexts","The attacker guesses the key blindly","C","In a chosen-plaintext attack, the attacker selects plaintexts and analyzes the resulting ciphertexts.","hard"
46,"3",Modern Cryptography & Advanced Ciphers,"Which principle dictates the AES Key Expansion parallel workflow?","It generates a continuous stream of bits using a shift register","It derives a set of Round Keys from the initial cipher key to be injected at each AddRoundKey step","It shrinks the key from 128 bits to 56 bits","It hashes the key using SHA-1","B","The AES key expansion takes the original key and derives subkeys for each of the 10, 12, or 14 rounds.","hard"
47,"3",Modern Cryptography & Advanced Ciphers,"What is the primary function of the MixColumns step in AES?","To substitute each byte with another byte using the S-box","To shift the rows of the state matrix","To operate on each column of the state matrix individually to provide diffusion","To add the round key to the state","C","MixColumns is a linear transformation that mixes the bytes in each column of the state matrix.","hard"
48,"3",Modern Cryptography & Advanced Ciphers,"True/False: A brute force attack's effectiveness is directly proportional to the key size.","True","False","None of the above","Both A and B","A","A brute force attack tries every possible key, so a larger key size drastically increases the time required.","easy"
49,"3",Modern Cryptography & Advanced Ciphers,"Which of the following is NOT an advantage of Stream Ciphers over Block Ciphers?","They are generally faster","They use far less code","They are preferred for encrypting data at rest like database files","They do not require buffering","C","Block ciphers are preferred for data at rest (files), while stream ciphers are better for streaming data in transit.","medium"
50,"3",Modern Cryptography & Advanced Ciphers,"In a digital signature creation diagram, what is encrypted with the sender's private key?","The original plaintext message","The recipient's public key","The hash of the message","A symmetric session key","C","To create a digital signature, the hash of the message is encrypted with the sender's private key.","medium"
51,"4",Data Recovery & Secure Deletion,"What is the primary function of Secure File Deletion (Data Wiping)?","To delete the file's location marker only","To compress the file into an archive","To process the erasing of files from a storage device to prevent their recovery","To recover data from corrupted hard drives","C","Secure file deletion, or shredding, erases files permanently to prevent unauthorized recovery.","easy"
52,"4",Data Recovery & Secure Deletion,"What is the main difference between Deleting and Secure Deleting a file?","Deleting destroys the hard drive, while secure deleting saves it to the cloud","Deleting only removes the location marker leaving data intact, while secure deleting actively prevents recovery","Deleting uses encryption, while secure deleting uses physical destruction","There is no difference","B","Standard deletion only marks space as available, while secure deletion overwrites or destroys the data.","medium"
53,"4",Data Recovery & Secure Deletion,"Which of the following is NOT a method of Secure File Deletion?","Overwriting","Cryptographic Erasing","Data Masking","File Formatting","D","File Formatting generally only removes the address tables and does not securely wipe the underlying data.","medium"
54,"4",Data Recovery & Secure Deletion,"True/False: Cryptographic Erasing involves encrypting a file before deletion, making it virtually impossible to recover without the decryption key.","True","False","None of the above","Both A and B","A","Cryptographic Erasing adds a layer of protection by rendering recovered data unreadable.","easy"
55,"4",Data Recovery & Secure Deletion,"In the physical architecture diagram of a Hard Disk Drive (HDD), what component holds the read-write head over the disk?","Spindle","Platter","Actuator Arm","Jumper Block","C","The Actuator Arm extends from the Actuator pivot base and holds the Read/Write head.","medium"
56,"4",Data Recovery & Secure Deletion,"What is the primary function of Degaussing?","Using a strong magnetic field to destroy data on magnetic storage devices","Replacing identifying details with symbols","Encrypting the file before deletion","Recovering lost partitions","A","Degaussing is a physical destruction method that uses magnetic fields to wipe hard drives.","medium"
57,"4",Data Recovery & Secure Deletion,"Which of the following is NOT a risk of Insecure File Deletion?","Data Recovery by unauthorized users","Identity Theft","Improved System Performance","Extortion and Blackmail","C","Improved system performance is a benefit of deleting unnecessary files, not a risk of insecure deletion.","easy"
58,"4",Data Recovery & Secure Deletion,"What is the main difference between DBAN and TestDisk?","DBAN is for secure data removal, while TestDisk is for data recovery","DBAN is for data recovery, while TestDisk is a web browser","DBAN only works on SSDs, while TestDisk only works on USBs","Both are primarily used for steganography","A","DBAN (Darik's Boot and Nuke) wipes drives, whereas TestDisk recovers lost partitions and data.","hard"
59,"4",Data Recovery & Secure Deletion,"True/False: According to the slides, physical data recovery techniques can involve scanning an atomically sharp probe over the platter surface to produce a 3D topographic image.","True","False","None of the above","Both A and B","A","This is an advanced physical data recovery technique used to read analog signals from damaged drives.","hard"
60,"4",Data Recovery & Secure Deletion,"In the phase sequence of Data Recovery using Software, what step follows the repairment of the hard disk drive?","Deleting the master boot record","Formatting the drive","Imaging the drive to a new drive in another computer","Overwriting the sectors","C","After initial repair, the drive is imaged to prevent further damage during the software scanning process.","hard"
61,"4",Data Recovery & Secure Deletion,"Which principle dictates the function of the Spindle in an HDD?","It writes the magnetic patterns","It connects to a motor that spins the platters at a constant RPM","It moves the heads in an arc","It translates analog signals to digital","B","The spindle holds the platters and spins them at a constant revolutions per minute.","medium"
62,"4",Data Recovery & Secure Deletion,"What is the primary function of the Platter in an HDD?","To move the actuator arm","To read data from the head","To store the magnetic patterns on a nonmagnetic material coating","To control spindle motor rotation","C","The platter is the actual disk that stores the magnetic patterns.","easy"
63,"4",Data Recovery & Secure Deletion,"Which of the following is NOT a General Data Recovery Technique category mentioned?","Backup techniques","Software Techniques","Physical techniques","Steganographic techniques","D","The three categories are Backup, Software, and Physical techniques.","medium"
64,"4",Data Recovery & Secure Deletion,"True/False: Data Masking is a secure deletion method that involves replacing personally-identifying details and names with other symbols.","True","False","None of the above","Both A and B","A","Data masking alters files to make sensitive data unusable before or instead of deletion.","easy"
